Rank,SMILES,Score
1,*OC,0.538003
2,*O,0.498361
3,*OCC,0.472576
4,*C,0.460592
5,*OCCN,0.445552
6,*CO,0.437827
7,*OCCO,0.416656
8,*OCCC,0.415058
9,*OCC=C,0.411115
10,*CN,0.404708
11,*OCCCN,0.404042
12,*OC(C)C,0.403683
13,*OCC#C,0.402377
14,*OC=C,0.399845
15,*OC(C)=O,0.398691
16,*OCF,0.397399
17,*OCC(N)=O,0.395417
18,*OC(N)=O,0.395274
19,*CCO,0.395092
20,*OCCF,0.388537
21,*OCC#N,0.387593
22,*OC=CC,0.387259
23,*CC#C,0.386384
24,*F,0.386165
25,*C(C)O,0.385398
26,*CC,0.383404
27,*OCC(C)N,0.383032
28,*C(N)O,0.381562
29,*C(O)C#C,0.378753
30,*C(=O)O,0.378302
31,*OCCCO,0.377085
32,*C(N)CO,0.377085
33,*OC(=O)CN,0.377044
34,*OCCN(C)C,0.376795
35,*CCN,0.375430
36,*OC(C)O,0.374591
37,*CNCCO,0.374291
38,*OCCCC=O,0.373805
39,*C(C)N,0.373118
40,*C(O)CN,0.372223
41,*OCCC=C,0.371246
42,*OCCCl,0.370895
43,*OCC(=O)NC,0.369534
44,*OC(N)O,0.368573
45,*OCCCC,0.368372
46,*OCC(C)C,0.367270
47,*OCC#CC,0.365480
48,*CC(N)O,0.365064
49,*CNC,0.361741
50,*CNCC,0.360942
51,*C(N)=O,0.359878
52,*CCCO,0.359085
53,*C=O,0.358843
54,*OC(C)(C)C,0.357870
55,*OCC(=O)O,0.357404
56,*CCNC,0.357241
57,*OCCOC,0.357138
58,*OCCCN(C)C,0.356003
59,*CNCCCO,0.355897
60,*COC,0.355796
61,*OCC=C=C,0.354463
62,*OCCCCO,0.353375
63,*OC(=O)C=C,0.353127
64,*OC(=O)O,0.353036
65,*OCCNC(C)=O,0.352345
66,*C(=O)NCCO,0.351840
67,*OC(=O)CC,0.351819
68,*C(=O)OO,0.351741
69,*OC(=O)NCC,0.351361
70,*OCC(=C)C,0.351043
71,*CC(=O)O,0.350374
72,*OCOC,0.350316
73,*OC(C)CC,0.348992
74,*C(O)CCN,0.348711
75,*OC(C)=S,0.348303
76,*CCNCCO,0.348142
77,*OCC#CCN,0.347479
78,*C(C)NC,0.346539
79,*C(=O)CO,0.346351
80,*C(CO)NC(C)=O,0.346250
81,*CCCN,0.344914
82,*C(O)O,0.344725
83,*OCC[N+](C)(C)C,0.343326
84,*OCC(C)O,0.343080
85,*CNC=O,0.342908
86,*C(O)NC,0.342778
87,*OCC(F)F,0.342459
88,*OCCCCCN,0.342390
89,*OC(F)F,0.342360
90,*C(O)CC,0.342174
91,*OCCC#C,0.341252
92,*OC(C)CO,0.341076
93,*C(=O)OCC,0.341070
94,*OCCCC(=O)O,0.340885
95,*C(=O)OCCN,0.340313
96,*CC(N)=O,0.339960
97,*OCC=CCl,0.339491
98,*C(O)C=C,0.339155
99,*OC1CC1,0.338636
100,*CCOC,0.337940
