Rank,SMILES,Score
1,*C1(O)C(=O)Nc2ccccc21,0.601549
2,*c1ncnc2c1C(C)CC2O,0.599989
3,*c1ccnc2c1C(=O)N(C)C2,0.591009
4,*N1C(=O)CCc2ccccc21,0.589771
5,*c1ccc2c(c1)NC(=O)CC2,0.585901
6,*c1cnc2c(c1)CCC(=O)N2,0.585765
7,*c1nc2cc[nH]c2c(=O)n1C,0.584733
8,*c1ccc2c(c1)C(=O)NCC2,0.582585
9,*c1ccc2c(c1)CCC(=O)N2,0.579255
10,*c1cn(C)c(=O)c2[nH]ccc12,0.575921
11,*c1nc2[nH]c(C)cc(=O)n2n1,0.574937
12,*c1cccc2c1NCC(C)C2,0.574067
13,*c1cccc2c1C(=O)N(C)C2,0.571890
14,*c1c[nH]c2[nH]c(=N)[nH]c(=O)c12,0.570743
15,*c1c(C)n(C)c2ccccc12,0.569759
16,*Oc1cccc2c1C(=O)CC2,0.568426
17,*NC1CCOc2ccccc21,0.568296
18,*NC1c2ccccc2CC1O,0.566456
19,*Cc1c[n+]2c(c([O-])n1)=CCC=2,0.565968
20,*C1Cc2ccccc2NC1=O,0.565402
21,*c1cnc2[nH]nc(OC)c2c1,0.562952
22,*c1ccc2[nH]cc(C#N)c2c1,0.562238
23,*c1cc2c(=O)[nH]c(=N)[nH]c2[nH]1,0.562104
24,*Oc1ccc2c(c1)C=NC2=O,0.561467
25,*c1ccnc2c1OCCNC2,0.560667
26,*Oc1ccc2c(c1)NCCC2,0.558745
27,*NC1c2ccccc2CC1N,0.556891
28,*c1ccc2c(c1)NC(=O)CO2,0.556336
29,*c1nc2c(C)ncc(C)n2n1,0.555994
30,*c1coc2[nH]c(=N)[nH]c(=N)c12,0.555588
31,*N1CCCc2ccccc21,0.555067
32,*c1ccc2c(c1)OCCN2C,0.554910
33,*c1ccc(C)cc1,0.554260
34,*c1cnn2cc(OC)ccc12,0.553785
35,*c1ccc2c(c1)CCCO2,0.553427
36,*c1ccc2c(c1)[nH]c(=O)n2C,0.552808
37,*Cc1c(C)[nH]c2ccccc12,0.552743
38,*Cc1c[nH]c2c(=N)[nH]cnc12,0.552418
39,*c1cc2c([nH]1)CCNC2=O,0.551852
40,*n1cnc2c(=N)[nH]c(C)nc21,0.551595
41,*C(=O)c1cccc2c[nH]nc12,0.551332
42,*C(=O)c1cccc2[nH]cnc12,0.550770
43,*C(=O)c1coc2ccccc12,0.550267
44,*Cc1c[nH]c2cc(F)ccc12,0.549934
45,*Cc1c(O)[nH]c2ccccc12,0.549377
46,*c1ccc2c(c1)NCCC2,0.548651
47,*C(=O)c1ccc2c(c1)OCO2,0.548174
48,*CC1OB(O)c2ccccc21,0.547991
49,*n1cnc2c(=NC)[nH]cnc21,0.547780
50,*C(=O)c1cc2ccncc2o1,0.547617
51,*c1ccc(CN)cc1,0.547434
52,*c1oc2ccc(C)cc2c1C,0.546949
53,*Oc1ncnc2ccn(C)c12,0.546267
54,*Cc1cn(C)c2ccccc12,0.545695
55,*c1c[nH]c2cc(C#N)ccc12,0.543228
56,*Cc1ccccc1,0.542953
57,*c1ccc2c(c1)C(=O)N=C2,0.541477
58,*c1ccc(CC)cc1,0.541161
59,*NC1Cc2ccccc2C1O,0.540796
60,*C(=O)c1ccnc2[nH]ccc12,0.540700
61,*n1cnc2cc(C)c(C)cc21,0.540045
62,*c1c(C)c(O)c(=C)c(=C)c1O,0.539463
63,*c1cccc(C)c1,0.538077
64,*c1cc(C)c(C(N)=O)cc1C,0.537900
65,*C(=O)c1cc2cnccc2[nH]1,0.536583
66,*NC1CCCc2ccccc21,0.536350
67,*c1cc2c(nn1)N=NC2=O,0.536172
68,*C(=O)c1cnc2[nH]ncc2c1,0.535287
69,*c1ccc(CN)c(OC)c1,0.535187
70,*c1ccc(C#N)c(C2CC2)c1,0.535080
71,*Cc1c[nH]c2ccc(C)cc12,0.535042
72,*c1ccccc1C,0.535027
73,*c1noc2cc(OC)ccc12,0.534867
74,*C(C)c1c[nH]c2ncccc12,0.534815
75,*c1cccc2c1C(=O)CC2,0.534327
76,*c1cccc(C2=NCCN2)c1,0.533517
77,*Cc1c[nH]c2cc(C)ccc12,0.533429
78,*C(=O)c1onc2ccccc12,0.533043
79,*CC1NCCc2ccccc21,0.532992
80,*c1c[nH]c2c(OC)cccc12,0.531772
81,*C1CCOc2ccccc21,0.531764
82,*CC1c2ccccc2CC1O,0.531482
83,*Cc1ccc2[nH]c(=O)[nH]c2c1,0.531146
84,*C=C1C(=O)Cc2ccccc21,0.530856
85,*CN1CCc2ccccc21,0.530828
86,*c1ccc(O)c(C(C)CC)c1,0.530813
87,*c1nccc2c(=O)[nH]cnc12,0.530598
88,*c1cccc(CC)c1,0.530545
89,*c1ccc2c(c1)CNCC2,0.530525
90,*n1ccc2ncccc2c1=O,0.530291
91,*Cc1oc2ccccc2c1C,0.530234
92,*C(=O)c1ccn2cccc2c1,0.530060
93,*c1ccc(C(N)N)cc1,0.529815
94,*NCC1Cc2ccccc2O1,0.529454
95,*c1ccccc1CC,0.529092
96,*n1c(OC)nc2cccnc21,0.528945
97,*c1ccc2c(=N)[nH]cnc2c1,0.528749
98,*C(=O)c1cnn2cccnc12,0.528383
99,*c1cc(C)c2[nH]ncc2c1,0.528060
100,*C(=O)c1cc2ccccc2[nH]1,0.527643
